round,cohort_size,sum_w_cohort,avg_w_cohort,avg_norm_cached_g,avg_cos_cached_vs_honest_mean,n_in_S_t,decay_factor_this_round
0,80,0.421053,0.005263,45.997093,+0.084281,80,0.995000
1,80,0.421053,0.005263,47.799671,+0.076928,80,0.995000
2,80,0.421053,0.005263,44.573902,+0.036983,80,0.995000
3,80,0.421053,0.005263,40.150587,-0.018353,80,0.995000
4,80,0.421053,0.005263,36.415555,-0.065467,80,0.995000
5,80,0.421053,0.005263,33.415239,-0.086821,80,0.995000
6,80,0.421053,0.005263,31.279579,-0.117995,80,0.995000
7,80,0.421053,0.005263,29.696313,-0.104921,80,0.995000
8,80,0.421053,0.005263,28.269837,-0.123365,80,0.995000
9,80,0.421053,0.005263,27.085153,-0.131465,80,0.995000
10,80,0.421053,0.005263,26.093646,-0.131708,80,0.995000
11,80,0.421053,0.005263,25.057724,-0.117273,80,0.995000
12,80,0.421053,0.005263,24.181877,-0.127271,80,0.995000
13,80,0.421053,0.005263,23.581322,-0.143526,80,0.995000
14,80,0.421053,0.005263,22.805819,-0.113709,80,0.995000
15,80,0.421053,0.005263,22.175343,-0.134106,80,0.995000
16,80,0.421053,0.005263,21.546946,-0.132717,80,0.995000
17,80,0.421053,0.005263,21.062485,-0.117273,80,0.995000
18,80,0.421053,0.005263,20.671861,-0.143376,80,0.995000
19,80,0.421053,0.005263,16.713453,+0.070172,80,0.995000
20,80,0.421053,0.005263,16.629886,+0.053809,0,0.995000
21,80,0.421053,0.005263,16.546736,+0.026962,0,0.995000
22,80,0.421053,0.005263,16.464003,+0.014153,0,0.995000
23,80,0.421053,0.005263,16.381683,-0.002912,0,0.995000
24,80,0.421053,0.005263,16.299774,+0.006317,0,0.995000
25,80,0.421053,0.005263,16.218275,-0.042754,0,0.995000
26,80,0.421053,0.005263,16.137184,-0.058124,0,0.995000
27,80,0.421053,0.005263,16.056498,-0.065121,0,0.995000
28,80,0.421053,0.005263,15.976216,-0.094935,0,0.995000
29,80,0.421053,0.005263,15.896334,-0.112932,0,0.995000
30,80,0.421053,0.005263,15.816853,-0.123019,0,0.995000
